card,model_id,benchmark_id,legacy_value,status,reason,published_value,evidence_date,source_url,evidence_id
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,arc_challenge,64.4,migrated,verified by modelspec verify,64.419795221843,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#arc_challenge#7b43d478262d
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,bbh,60.2,migrated,verified by modelspec verify,60.156857765424164,2024-06-17,https://huggingface.co/datasets/open-llm-leaderboard/results/resolve/aa81ecc38fdc5708254b833923368970efdf5ef5/01-ai/Yi-1.5-34B-32K/results_2025-02-13T18-27-04.338360.json,01-ai/yi-1-5-34b-32k#bbh#cfd97e9092f8
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,gpqa_pooled,36.3,migrated,verified by modelspec verify,36.3255033557047,2024-06-17,https://huggingface.co/datasets/open-llm-leaderboard/results/resolve/aa81ecc38fdc5708254b833923368970efdf5ef5/01-ai/Yi-1.5-34B-32K/results_2025-02-13T18-27-04.338360.json,01-ai/yi-1-5-34b-32k#gpqa_pooled#c1c1642defd1
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,hellaswag,85.5,migrated,verified by modelspec verify,85.54072893845847,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#hellaswag#fc03185091b4
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,ifeval,31.2,migrated,verified by modelspec verify,31.186917379220468,2024-06-17,https://huggingface.co/datasets/open-llm-leaderboard/results/resolve/aa81ecc38fdc5708254b833923368970efdf5ef5/01-ai/Yi-1.5-34B-32K/results_2025-02-13T18-27-04.338360.json,01-ai/yi-1-5-34b-32k#ifeval#a9ac2cfe2fe8
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,math_lvl5,15.4,migrated,verified by modelspec verify,15.407854984894259,2024-06-17,https://huggingface.co/datasets/open-llm-leaderboard/results/resolve/aa81ecc38fdc5708254b833923368970efdf5ef5/01-ai/Yi-1.5-34B-32K/results_2025-02-13T18-27-04.338360.json,01-ai/yi-1-5-34b-32k#math_lvl5#5af0759e5052
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,mmlu_abstract_algebra,56.0,migrated,verified by modelspec verify,56.00000000000001,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#mmlu_abstract_algebra#572b3cd5a2ea
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,mmlu_anatomy,75.6,migrated,verified by modelspec verify,75.55555555555556,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#mmlu_anatomy#8f1c005a98e6
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,mmlu_astronomy,89.5,migrated,verified by modelspec verify,89.47368421052632,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#mmlu_astronomy#2f8a85ed545b
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,mmlu_business_ethics,82.0,migrated,verified by modelspec verify,82.0,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#mmlu_business_ethics#e2d1ec39c2a9
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,mmlu_clinical_knowledge,82.6,migrated,verified by modelspec verify,82.64150943396227,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#mmlu_clinical_knowledge#fab19c07c197
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,mmlu_college_biology,86.1,migrated,verified by modelspec verify,86.11111111111111,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#mmlu_college_biology#b75176a7b8e1
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,mmlu_college_chemistry,52.0,migrated,verified by modelspec verify,52.0,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#mmlu_college_chemistry#f4a9eb422c1e
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,mmlu_college_computer_science,72.0,migrated,verified by modelspec verify,72.0,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#mmlu_college_computer_science#d0cc0b642ace
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,mmlu_college_mathematics,54.0,migrated,verified by modelspec verify,54.0,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#mmlu_college_mathematics#df67e5d11321
models/01-ai/yi-1-5-34b-32k.md,01-ai/yi-1-5-34b-32k,mmlu_college_medicine,74.6,migrated,verified by modelspec verify,74.56647398843931,2024-05-26,https://huggingface.co/datasets/open-llm-leaderboard-old/results/resolve/23474373f8874f9057d23b97e5a41e911d2721c5/01-ai/Yi-1.5-34B-32K/results_2024-05-26T07-04-09.158901.json,01-ai/yi-1-5-34b-32k#mmlu_college_medicine#ca0fb9b02e9e
